,,,,,,,,,,,,,
VCAA Code,School Name,Sector,Locality,TOTAL COMPLETED YEAR 12 (NUMBER),ON TRACK CONSENTERS (NUMBER),ON TRACK RESPONDENTS (NUMBER),BACHELOR ENROLLED (PER CENT),DEFERRED (PER CENT), TAFE / VET ENROLLED (PER CENT),APPRENTICE / TRAINEE (PER CENT),EMPLOYED (PER CENT),LOOKING FOR WORK (PER CENT),Other (PER CENT)
01470,MARYBOROUGH EDUCATION CENTRE,G,MARYBOROUGH REGION,73,57,45,33,16,11,9,22,4,4
15008,MARYMEDE CATHOLIC COLLEGE,C,SOUTH MORANG,109,109,67,63,3,19,9,6,0,0
01431,MATER CHRISTI COLLEGE,C,BELGRAVE - SELBY,162,157,95,67,6,15,2,8,1,0
01067,MATTHEW FLINDERS GIRLS SECONDARY COLLEGE,G,GEELONG,99,59,40,43,10,10,0,25,10,3
01218,MAZENOD COLLEGE,C,MULGRAVE,184,183,112,71,4,11,10,2,2,1
01011,MCCLELLAND SECONDARY COLLEGE,G,FRANKSTON NORTH,117,69,46,26,2,26,11,20,15,0
01549,MCGUIRE COLLEGE,G,SHEPPARTON - SOUTH,43,43,30,33,3,23,7,23,7,3
01325,MCKINNON SECONDARY COLLEGE,G,BENTLEIGH - MCKINNON,276,273,154,73,9,8,3,6,0,0
01513,MELBA SECONDARY COLLEGE,G,CROYDON,116,107,92,26,8,18,9,23,14,2
01164,MELBOURNE GIRLS GRAMMAR,I,SOUTH YARRA - WEST,83,65,40,88,5,3,0,5,0,0
01223,MELBOURNE GRAMMAR SCHOOL,I,SOUTH YARRA - WEST,190,136,77,86,8,0,3,4,0,0
01556,MELBOURNE RUDOLF STEINER SCHOOL,I,CROYDON HILLS - WARRANWOOD,31,31,23,52,13,13,0,13,9,0
01943,MELTON CHRISTIAN COLLEGE,I,MELTON SOUTH,25,16,12,67,0,25,0,8,0,0
01313,MELTON SECONDARY COLLEGE,G,MELTON WEST,89,80,57,21,11,30,7,21,11,0
01065,MENTONE GIRLS' GRAMMAR SCHOOL,I,MENTONE,62,58,41,78,2,12,5,0,2,0
01273,MENTONE GIRLS SECONDARY COLLEGE,G,MENTONE,147,99,77,66,12,9,3,6,3,1
01116,MENTONE GRAMMAR SCHOOL,I,MENTONE,171,171,112,78,7,6,4,5,0,0
01183,MERCY REGIONAL COLLEGE,C,CAMPERDOWN,79,69,49,43,6,8,20,18,4,0
01015,METHODIST LADIES' COLLEGE,I,KEW,285,204,123,81,5,8,5,1,0,0
01107,MILDURA SENIOR COLLEGE,G,MILDURA,355,314,216,29,21,9,13,21,4,2
01873,MILL PARK SECONDARY COLLEGE,G,EPPING,278,195,140,47,11,14,12,11,4,1
01371,MIRBOO NORTH SECONDARY COLLEGE,G,LEONGATHA,51,50,36,39,19,14,14,8,6,0
01062,MONBULK COLLEGE,G,MONBULK - SILVAN,64,57,42,31,19,19,10,19,2,0
01071,MONTMORENCY SECONDARY COLLEGE,G,MONTMORENCY - BRIAR HILL,91,84,48,46,13,13,4,17,8,0
01436,MOOROOLBARK COLLEGE,G,MOOROOLBARK,116,91,68,26,7,28,10,22,3,3
01482,MOOROOPNA SECONDARY COLLEGE,G,MOOROOPNA,42,38,21,10,14,29,10,29,10,0
01376,MORDIALLOC COLLEGE,G,EDITHVALE - ASPENDALE,67,58,43,33,14,21,5,19,7,2
01590,MORNINGTON SECONDARY COLLEGE,G,MORNINGTON,194,189,115,33,12,11,14,25,3,1
01329,MOUNT BEAUTY SECONDARY COLLEGE,G,BRIGHT - MOUNT BEAUTY,25,23,16,50,6,13,0,19,13,0
01531,MOUNT CLEAR COLLEGE,G,BALLARAT - SOUTH,132,77,51,41,6,14,12,24,2,2
01228,MOUNT ELIZA SECONDARY COLLEGE,G,MOUNT ELIZA,98,84,59,36,19,10,19,15,2,0
